Contig,Source,Locus
CM003638.2,Landfowl/IMGT_Chicken/bGRCg6a_pri,IGH
CM000107.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,IGL
CM000118.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,TRA
CM000093.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,TRB
CM000094.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,TRG
CM000118.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,TRD
ptg000161l,Songbirds/RedWinged_Blackbird/bAgePho2_pri,IGH
ptg000008l,Songbirds/RedWinged_Blackbird/bAgePho2_pri,IGL
ptg000010l,Songbirds/RedWinged_Blackbird/bAgePho2_pri,TRA
ptg000014l,Songbirds/RedWinged_Blackbird/bAgePho2_pri,TRB
ptg000010l,Songbirds/RedWinged_Blackbird/bAgePho2_pri,TRD
ptg000002l,Songbirds/RedWinged_Blackbird/bAgePho2_pri,TRG
atg000012l,Songbirds/RedWinged_Blackbird/bAgePho2_alt,IGL
atg000075l,Songbirds/RedWinged_Blackbird/bAgePho2_alt,TRA
atg000044l,Songbirds/RedWinged_Blackbird/bAgePho2_alt,TRB
atg000075l,Songbirds/RedWinged_Blackbird/bAgePho2_alt,TRD
atg000006l,Songbirds/RedWinged_Blackbird/bAgePho2_alt,TRG
